"Host","Year","Team","Goals.for","Penalty.goal"
"russia",2018,"Belgium","16","1"
"russia",2018,"France","14","3"
"russia",2018,"Croatia","14","1"
"russia",2018,"England","12","3"
"russia",2018,"Russia","11","1"
"russia",2018,"Brazil","8","0"
"russia",2018,"Uruguay","7","0"
"russia",2018,"Spain","7","0"
"russia",2018,"Colombia","6","0"
"russia",2018,"Sweden","6","2"
"russia",2018,"Portugal","6","1"
"russia",2018,"Japan","6","1"
"russia",2018,"Argentina","6","0"
"russia",2018,"Switzerland","5","0"
"russia",2018,"Tunisia","5","1"
"russia",2018,"Senegal","4","0"
"russia",2018,"Denmark","3","0"
"russia",2018,"Korea Republic","3","0"
"russia",2018,"Nigeria","3","1"
"russia",2018,"Mexico","3","1"
"russia",2018,"IR Iran","2","1"
"russia",2018,"Peru","2","0"
"russia",2018,"Morocco","2","0"
"russia",2018,"Germany","2","0"
"russia",2018,"Serbia","2","0"
"russia",2018,"Costa Rica","2","0"
"russia",2018,"Iceland","2","1"
"russia",2018,"Poland","2","0"
"russia",2018,"Australia","2","2"
"russia",2018,"Egypt","2","1"
"russia",2018,"Saudi Arabia","2","1"
"russia",2018,"Panama","2","0"
"brazil",2014,"Germany","18","1"
"brazil",2014,"Netherlands","15","2"
"brazil",2014,"Colombia","12","2"
"brazil",2014,"Brazil","11","1"
"brazil",2014,"France","10","1"
"brazil",2014,"Argentina","8","0"
"brazil",2014,"Algeria","7","1"
"brazil",2014,"Switzerland","7","0"
"brazil",2014,"Croatia","6","0"
"brazil",2014,"Chile","6","0"
"brazil",2014,"Belgium","6","0"
"brazil",2014,"Mexico","5","0"
"brazil",2014,"USA","5","0"
"brazil",2014,"Costa Rica","5","0"
"brazil",2014,"Bosnia and Herzegovina","4","0"
"brazil",2014,"Côte d'Ivoire","4","0"
"brazil",2014,"Ghana","4","0"
"brazil",2014,"Spain","4","1"
"brazil",2014,"Portugal","4","0"
"brazil",2014,"Uruguay","4","1"
"brazil",2014,"Ecuador","3","0"
"brazil",2014,"Korea Republic","3","0"
"brazil",2014,"Australia","3","1"
"brazil",2014,"Greece","3","1"
"brazil",2014,"Nigeria","3","0"
"brazil",2014,"Italy","2","0"
"brazil",2014,"Russia","2","0"
"brazil",2014,"England","2","0"
"brazil",2014,"Japan","2","0"
"brazil",2014,"Iran","1","0"
"brazil",2014,"Honduras","1","0"
"brazil",2014,"Cameroon","1","0"
"southafrica",2010,"Germany","16","0"
"southafrica",2010,"Netherlands","12","0"
"southafrica",2010,"Uruguay","11","1"
"southafrica",2010,"Argentina","10","0"
"southafrica",2010,"Brazil","9","0"
"southafrica",2010,"Spain","8","0"
"southafrica",2010,"Portugal","7","0"
"southafrica",2010,"Korea Republic","6","0"
"southafrica",2010,"USA","5","1"
"southafrica",2010,"Slovakia","5","1"
"southafrica",2010,"Ghana","5","2"
"southafrica",2010,"Côte d'Ivoire","4","0"
"southafrica",2010,"Italy","4","1"
"southafrica",2010,"Mexico","4","1"
"southafrica",2010,"Japan","4","0"
"southafrica",2010,"Nigeria","3","1"
"southafrica",2010,"South Africa","3","0"
"southafrica",2010,"Australia","3","0"
"southafrica",2010,"Slovenia","3","0"
"southafrica",2010,"Denmark","3","0"
"southafrica",2010,"England","3","0"
"southafrica",2010,"Chile","3","0"
"southafrica",2010,"Paraguay","3","0"
"southafrica",2010,"Cameroon","2","1"
"southafrica",2010,"Greece","2","0"
"southafrica",2010,"New Zealand","2","0"
"southafrica",2010,"Serbia","2","0"
"southafrica",2010,"Switzerland","1","0"
"southafrica",2010,"France","1","0"
"southafrica",2010,"Korea DPR","1","0"
"germany",2006,"Germany","14","0"
"germany",2006,"Italy","12","1"
"germany",2006,"Argentina","11","0"
"germany",2006,"Brazil","10","0"
"germany",2006,"Spain","9","3"
"germany",2006,"France","9","2"
"germany",2006,"Portugal","7","2"
"germany",2006,"England","6","0"
"germany",2006,"Côte d'Ivoire","5","2"
"germany",2006,"Mexico","5","0"
"germany",2006,"Ecuador","5","0"
"germany",2006,"Australia","5","1"
"germany",2006,"Ukraine","5","1"
"germany",2006,"Switzerland","4","0"
"germany",2006,"Ghana","4","1"
"germany",2006,"Tunisia","3","0"
"germany",2006,"Costa Rica","3","0"
"germany",2006,"Korea Republic","3","0"
"germany",2006,"Czech Republic","3","0"
"germany",2006,"Sweden","3","0"
"germany",2006,"Netherlands","3","0"
"germany",2006,"Poland","2","0"
"germany",2006,"Serbia and Montenegro","2","0"
"germany",2006,"Saudi Arabia","2","0"
"germany",2006,"Iran","2","0"
"germany",2006,"Japan","2","0"
"germany",2006,"Paraguay","2","0"
"germany",2006,"Croatia","2","0"
"germany",2006,"USA","2","0"
"germany",2006,"Angola","1","0"
"germany",2006,"Togo","1","0"
"koreajapan",2002,"Brazil","18","2"
"koreajapan",2002,"Germany","14","0"
"koreajapan",2002,"Spain","10","2"
"koreajapan",2002,"Turkey","10","0"
"koreajapan",2002,"Korea Republic","8","0"
"koreajapan",2002,"Senegal","7","1"
"koreajapan",2002,"USA","7","0"
"koreajapan",2002,"Portugal","6","0"
"koreajapan",2002,"Republic of Ireland","6","1"
"koreajapan",2002,"Belgium","6","0"
"koreajapan",2002,"Paraguay","6","0"
"koreajapan",2002,"England","6","1"
"koreajapan",2002,"Costa Rica","5","0"
"koreajapan",2002,"South Africa","5","1"
"koreajapan",2002,"Japan","5","0"
"koreajapan",2002,"Italy","5","0"
"koreajapan",2002,"Sweden","5","1"
"koreajapan",2002,"Denmark","5","1"
"koreajapan",2002,"Russia","4","1"
"koreajapan",2002,"Uruguay","4","1"
"koreajapan",2002,"Mexico","4","1"
"koreajapan",2002,"Poland","3","0"
"koreajapan",2002,"Croatia","2","0"
"koreajapan",2002,"Slovenia","2","0"
"koreajapan",2002,"Argentina","2","0"
"koreajapan",2002,"Ecuador","2","0"
"koreajapan",2002,"Cameroon","2","0"
"koreajapan",2002,"Nigeria","1","0"
"koreajapan",2002,"Tunisia","1","0"
"france",1998,"France","15","1"
"france",1998,"Brazil","14","1"
"france",1998,"Netherlands","13","0"
"france",1998,"Croatia","11","1"
"france",1998,"Argentina","10","2"
"france",1998,"Denmark","9","1"
"france",1998,"Spain","8","1"
"france",1998,"Mexico","8","1"
"france",1998,"Germany","8","0"
